"","Raw.Filename","Successful.Feeding.Strikes","Unsuccessful.Feeding.Strikes","Success.Accuracy","Pop","Food.Treatment","Date","Tank","AgeAtMeasurement.days","date.food.treat.began","fry.birth.date","time.mother.in.food.treatment","brood.size","mom.sl"
"64","08-21-19_06-BON-H.txt","22","9","0.709677419354839","06-BON-H","H","08-21-19","06-BON-H",13,2019-07-11,2019-08-08,28,42,57
"65","08-21-19_09-BON-L.txt","2","0","1","09-BON-L","L","08-21-19","09-BON-L",61,2019-06-24,2019-06-21,0,14,NA
"66","08-21-19_11-PSO-H.txt","2","2","0.5","11-PSO-H","H","08-21-19","11-PSO-H",43,2019-06-24,2019-07-09,15,20,55
"67","08-22-19_14-BON-H.txt","19","5","0.791666666666667","14-BON-H","H","08-22-19","14-BON-H",29,2019-06-24,2019-07-24,30,11,35
"68","08-22-19_19-PSO-H.txt","5","2","0.714285714285714","19-PSO-H","H","08-22-19","19-PSO-H",29,2019-06-24,2019-07-24,30,23,42
"69","08-22-19_40-BON-L-2ndBrood.txt","2","2","0.5","40-BON-L-2ndBrood","L","08-22-19","40-BON-L",59,2019-06-24,2019-06-24,0,3,37
"70","08-27-19_53-BON-L.txt","13","2","0.866666666666667","53-BON-L","L","08-27-19","53-BON-L",42,2019-06-24,2019-07-16,22,18,46
"71","08-27-19_58-PSO-H.txt","2","1","0.666666666666667","58-PSO-H","H","08-27-19","58-PSO-H",50,2019-06-24,2019-07-08,14,4,39
"72","09-05-19_06-BON-H.txt","12","5","0.705882352941177","06-BON-H","H","09-05-19","06-BON-H",28,2019-07-11,2019-08-08,28,42,57
"73","09-05-19_10-BON-H.txt","3","2","0.6","10-BON-H","H","09-05-19","10-BON-H",16,2019-06-24,2019-08-20,57,17,49
"74","09-05-19_24-PSO-H.txt","5","3","0.625","24-PSO-H","H","09-05-19","24-PSO-H",30,2019-06-24,2019-08-06,43,34,50
"75","09-05-19_40-BON-L-2ndBrood.txt","6","0","1","40-BON-L-2ndBrood","L","09-05-19","40-BON-L",73,2019-06-24,2019-06-24,0,3,37
"76","09-06-19_43-BON-L.txt","10","2","0.833333333333333","43-BON-L","L","09-06-19","43-BON-L",40,2019-06-24,2019-07-28,34,17,42
"77","09-06-19_48-PSO-H.txt","3","1","0.75","48-PSO-H","H","09-06-19","48-PSO-H",57,2019-07-10,2019-07-11,1,5,NA
"78","09-06-19_52-BON-H-2ndBrood.txt","16","1","0.941176470588235","52-BON-H-2ndBrood","H","09-06-19","52-BON-H",60,2019-06-24,2019-07-08,14,4,47
"79","09-06-19_54-PSO-L.txt","1","0","1","54-PSO-L","L","09-06-19","54-PSO-L",18,2019-07-09,2019-08-19,41,9,35
"80","09-06-19_57-PSO-L.txt","6","2","0.75","57-PSO-L","L","09-06-19","57-PSO-L",18,2019-06-24,2019-08-19,56,6,29
"81","09-06-19_60-BON-L.txt","15","2","0.882352941176471","60-BON-L","L","09-06-19","60-BON-L",32,2019-06-24,2019-08-05,42,15,39
"82","09-19-19_10-BON-H.txt","7","0","1","10-BON-H","H","09-19-19","10-BON-H",30,2019-06-24,2019-08-20,57,17,49
"83","09-19-19_30-PSO-L.txt","3","1","0.75","30-PSO-L","L","09-19-19","30-PSO-L",23,2019-08-06,2019-08-27,21,25,45
"84","09-19-19_48-PSO-H.txt","9","3","0.75","48-PSO-H","H","09-19-19","48-PSO-H",70,2019-07-10,2019-07-11,1,5,NA
"85","09-19-19_52-BON-H-2ndBrood.txt","2","2","0.5","52-BON-H-2ndBrood","H","09-19-19","52-BON-H",73,2019-06-24,2019-07-08,14,4,47
"86","09-19-19_54-PSO-L.txt","2","1","0.666666666666667","54-PSO-L","L","09-19-19","54-PSO-L",31,2019-07-09,2019-08-19,41,9,35
"87","09-19-19_58-PSO-H.txt","1","1","0.5","58-PSO-H","H","09-19-19","58-PSO-H",73,2019-06-24,2019-07-08,14,4,39
"88","09-27-19_20-PSO-H.txt","4","0","1","20-PSO-H","H","09-27-19","20-PSO-H",2,2019-06-24,2019-09-25,93,55,49
"89","09-27-19_30-PSO-L.txt","11","2","0.846153846153846","30-PSO-L","L","09-27-19","30-PSO-L",31,2019-08-06,2019-08-27,21,25,45
"90","09-27-19_40-BON-L-2ndBrood.txt","11","0","1","40-BON-L-2ndBrood","L","09-27-19","40-BON-L",95,2019-06-24,2019-06-24,0,3,37
"91","09-27-19_48-PSO-H.txt","4","3","0.571428571428571","48-PSO-H","H","09-27-19","48-PSO-H",78,2019-07-10,2019-07-11,1,5,NA
"92","09-27-19_56-PSO-H.txt","13","2","0.866666666666667","56-PSO-H","H","09-27-19","56-PSO-H",31,2019-06-24,2019-08-27,64,6,43
"93","09-27-19_58-PSO-H.txt","13","9","0.590909090909091","58-PSO-H","H","09-27-19","58-PSO-H",81,2019-06-24,2019-07-08,14,4,39
"94","10-04-19_30-PSO-L.txt","10","3","0.769230769230769","30-PSO-L","L","10-04-19","30-PSO-L",38,2019-08-06,2019-08-27,21,25,45
"95","10-04-19_39-PSO-H.txt","3","1","0.75","39-PSO-H","H","10-04-19","39-PSO-H",18,2019-06-24,2019-09-16,84,9,40
"96","10-04-19_47-BON-H.txt","7","2","0.777777777777778","47-BON-H","H","10-04-19","47-BON-H",53,2019-06-24,2019-08-12,49,17,46
"97","10-04-19_56-PSO-H.txt","13","5","0.722222222222222","56-PSO-H","H","10-04-19","56-PSO-H",38,2019-06-24,2019-08-27,64,6,43
"98","10-11-19_20-PSO-H.txt","2","0","1","20-PSO-H","H","10-11-19","20-PSO-H",16,2019-06-24,2019-09-25,93,55,49
"99","10-11-19_30-PSO-L.txt","12","9","0.571428571428571","30-PSO-L","L","10-11-19","30-PSO-L",45,2019-08-06,2019-08-27,21,25,45
"100","10-11-19_39-PSO-H.txt","9","4","0.692307692307692","39-PSO-H","H","10-11-19","39-PSO-H",25,2019-06-24,2019-09-16,84,9,40
"101","10-11-19_47-BON-H.txt","3","1","0.75","47-BON-H","H","10-11-19","47-BON-H",60,2019-06-24,2019-08-12,49,17,46
"102","10-11-19_56-PSO-H.txt","14","8","0.636363636363636","56-PSO-H","H","10-11-19","56-PSO-H",45,2019-06-24,2019-08-27,64,6,43
"103","10-11-19_58-PSO-H.txt","4","1","0.8","58-PSO-H","H","10-11-19","58-PSO-H",95,2019-06-24,2019-07-08,14,4,39
"104","10-19-19_58-PSO-H.txt","28","13","0.682926829268293","58-PSO-H","H","10-19-19","58-PSO-H",103,2019-06-24,2019-07-08,14,4,39
"105","10-25-19_20-PSO-H.txt","3","3","0.5","20-PSO-H","H","10-25-19","20-PSO-H",30,2019-06-24,2019-09-25,93,55,49
"106","10-25-19_39-PSO-H.txt","5","1","0.833333333333333","39-PSO-H","H","10-25-19","39-PSO-H",39,2019-06-24,2019-09-16,84,9,40
"107","10-25-19_56-PSO-H.txt","11","8","0.578947368421053","56-PSO-H","H","10-25-19","56-PSO-H",59,2019-06-24,2019-08-27,64,6,43
"108","10-31-19_58-PSO-H.txt","20","11","0.645161290322581","58-PSO-H","H","10-31-19","58-PSO-H",115,2019-06-24,2019-07-08,14,4,39
"109","11-15-19_39-PSO-H.txt","19","8","0.703703703703704","39-PSO-H","H","11-15-19","39-PSO-H",60,2019-06-24,2019-09-16,84,9,40
"110","11-15-19_57-PSO-L.txt","15","8","0.652173913043478","57-PSO-L","L","11-15-19","57-PSO-L",88,2019-06-24,2019-08-19,56,6,29
