"","Raw.Filename","Successful.Feeding.Strikes","Unsuccessful.Feeding.Strikes","Success.Accuracy","Pop","Tank","Food.Treatment","Date","AgeAtMeasurement.days","date.food.treat.began","fry.birth.date","time.mother.in.food.treatment","brood.size","mom.sl","week.of.measure","mom.sl.2"
"63","08-21-19_02-BON-L.txt",6,0,1,"BON","02-BON-L","L",2019-08-21,61,2019-06-24,2019-06-21,0,12,NA,9,48.0909090909091
"64","08-21-19_06-BON-H.txt",22,9,0.709677419354839,"BON","06-BON-H","H",2019-08-21,13,2019-07-11,2019-08-08,28,42,57,2,57
"65","08-21-19_09-BON-L.txt",2,0,1,"BON","09-BON-L","L",2019-08-21,61,2019-06-24,2019-06-21,0,14,NA,9,48.0909090909091
"67","08-22-19_14-BON-H.txt",19,5,0.791666666666667,"BON","14-BON-H","H",2019-08-22,29,2019-06-24,2019-07-24,30,11,35,5,35
"69","08-22-19_40-BON-L-2ndBrood.txt",2,2,0.5,"BON","40-BON-L-2ndBrood","L",2019-08-22,7,2019-07-11,2019-08-15,35,11,37,1,37
"70","08-27-19_53-BON-L.txt",13,2,0.866666666666667,"BON","53-BON-L","L",2019-08-27,42,2019-06-24,2019-07-16,22,18,46,6,46
"72","09-05-19_06-BON-H.txt",12,5,0.705882352941177,"BON","06-BON-H","H",2019-09-05,28,2019-07-11,2019-08-08,28,42,57,4,57
"73","09-05-19_10-BON-H.txt",3,2,0.6,"BON","10-BON-H","H",2019-09-05,16,2019-06-24,2019-08-20,57,17,49,3,49
"75","09-05-19_40-BON-L-2ndBrood.txt",6,0,1,"BON","40-BON-L-2ndBrood","L",2019-09-05,21,2019-07-11,2019-08-15,35,11,37,3,37
"76","09-06-19_43-BON-L.txt",10,2,0.833333333333333,"BON","43-BON-L","L",2019-09-06,40,2019-06-24,2019-07-28,34,17,42,6,42
"78","09-06-19_52-BON-H-2ndBrood.txt",16,1,0.941176470588235,"BON","52-BON-H-2ndBrood","H",2019-09-06,39,2019-06-24,2019-07-29,35,38,47,6,47
"81","09-06-19_60-BON-L.txt",15,2,0.882352941176471,"BON","60-BON-L","L",2019-09-06,32,2019-06-24,2019-08-05,42,15,39,5,39
"82","09-19-19_10-BON-H.txt",7,0,1,"BON","10-BON-H","H",2019-09-19,30,2019-06-24,2019-08-20,57,17,49,5,49
"85","09-19-19_52-BON-H-2ndBrood.txt",2,2,0.5,"BON","52-BON-H-2ndBrood","H",2019-09-19,52,2019-06-24,2019-07-29,35,38,47,8,47
"90","09-27-19_40-BON-L-2ndBrood.txt",11,0,1,"BON","40-BON-L-2ndBrood","L",2019-09-27,43,2019-07-11,2019-08-15,35,11,37,7,37
"96","10-04-19_47-BON-H.txt",7,2,0.777777777777778,"BON","47-BON-H","H",2019-10-04,53,2019-06-24,2019-08-12,49,17,46,8,46
"101","10-11-19_47-BON-H.txt",3,1,0.75,"BON","47-BON-H","H",2019-10-11,60,2019-06-24,2019-08-12,49,17,46,9,46
