"","tank","trial.date","pop","food.treat","avgspeed","maxspeed","max.accel","swimming.time","freezing.time","burst.swimming.time","tot.dist.traveled","avg.d.from.center","prop.d.from.center","bday","time.mother.in.food.treat","mother.SL.mm","brood.size","age","PC1","PC2","PC3","PC4","PC5","week.of.measure","mom.sl.2"
"70","17-PSO-L",2019-08-01,"PSO","L",9.35855327656563,88.1127443848802,87.1424391576463,13.5666666666667,1.46666666666667,3.36666666666667,172.197380288808,27.812906042687,0.600020747410008,2019-07-08,14,35,6,24,-0.461429503092554,-0.0279589662152941,-0.543606268997887,-1.28102517643021,0.0727690142985877,4,35
"72","19-PSO-H",2019-08-01,"PSO","H",6.87625802142151,192.578605252094,175.877899990493,50.9,47.5333333333333,22.3333333333333,830.422760387004,43.3505775233684,0.935222155006211,2019-07-24,30,42,23,8,0.590964373060323,0.624748797212499,0.818681460768367,0.104123996236287,-0.0231821952858357,2,42
"74","31-PSO-H",2019-08-01,"PSO","H",3.40665247569201,62.2156270246717,57.3074519015437,73.3,44.2333333333333,2.96666666666667,410.501623320887,33.864016941503,0.730564174932321,2019-07-19,11,49,26,13,-0.800906087247989,-0.093139619532476,0.298116207308413,0.0460069845267716,-0.0271935603573714,2,49
"76","48-PSO-H",2019-08-01,"PSO","H",12.4216669855667,99.1803825935105,76.496455349175,83.7,1.33333333333333,35.6,1498.46709402553,45.3004724474896,0.977288144369081,2019-07-11,1,NA,5,21,1.71426268334741,2.08646249032886,0.230790823165665,0.167136902973079,-0.0231012632525414,3,44.9166666666667
"80","04-PSO-H",2019-08-08,"PSO","H",13.3980015684712,102.899765766226,81.7315170896376,69.1666666666667,3,37,1462.61517122477,41.7611335302688,0.900932341088806,2019-08-07,44,45,40,1,1.70245594993263,2.00865790179418,-0.167704844374648,-0.0483162741328063,-0.0108432990838387,1,45
"84","11-PSO-H",2019-08-08,"PSO","H",0.104442908107067,3.81580805271176,3.0746462929675,0.633333333333333,119.633333333333,0,12.5610004150099,39.1587635402604,0.844790203908115,2019-07-09,15,55,20,30,-1.57308735289327,-0.426119097647813,1.27217067170475,0.00984443073544106,-0.0124031722840442,5,55
"88","17-PSO-L",2019-08-08,"PSO","L",4.80420520197411,40.3409958532741,36.903946329998,91.2,20.7666666666667,8.5,578.746586664481,47.5335754052732,1.02546391225599,2019-07-08,14,35,6,31,-0.144892889479716,0.740629402073556,1.48833347238408,0.0734434057179203,-0.0220528119611366,5,35
"89","19-PSO-H",2019-08-08,"PSO","H",3.18129017121513,22.4216400291587,18.6666259898438,82.3666666666667,30.7,0.933333333333333,362.667079518525,28.8520861861096,0.622439463576996,2019-07-24,30,42,23,15,-1.11111108146006,-0.232784268064394,-0.177881860529131,0.00703978307111788,-0.0259049043001076,3,42
"91","24-PSO-H",2019-08-09,"PSO","H",23.5506734297632,133.918169894426,126.86365024178,35.8,0.433333333333333,54.2333333333333,2130.55092294591,45.8529523659885,0.989207050402056,2019-08-06,43,50,34,3,3.74467892753888,3.62803222566361,-0.794774504044513,-0.736506490935862,0.0039931368651703,1,50
"93","31-PSO-H",2019-08-09,"PSO","H",3.12739619063681,50.0355685987481,42.1548563847409,45.5,66.4333333333333,8.03333333333333,375.18329633673,30.5427128415463,0.658912138091104,2019-07-19,11,49,26,21,-0.994501948899586,-0.234335994251236,-0.00352838458010357,0.0372773076177832,-0.0219017908534488,3,49
