"","tanks","treatments","populations","dates","max.veloc","max.accel","net.dist.traveled","birth.date","days_mom_in_food_treat","mom.SL","brood.size","PC1","fry.age.at.test","week.of.measure","mom.sl.2"
"153","58-PSO-H-2ndBrood","H","PSO","9/20/19",301.35249396379,210.245624428208,31.4718779491808,2019-08-03,40,39,26,-2.50887044769867,48,7,39
"154","04-PSO-H","H","PSO","9/26/19",1531.55925551498,1052.0964396975,194.853982063186,2019-08-07,44,45,40,0.794512898476173,50,8,45
"156","19-PSO-H","H","PSO","9/26/19",1709.29992,816.258294487139,237.588884813062,2019-07-24,30,42,23,0.993500086355693,64,10,42
"157","20-PSO-H","H","PSO","9/26/19",749.014536903145,414.330649672267,60.1493256275532,2019-09-25,93,49,55,-1.66220935939072,1,1,49
"158","30-PSO-L","L","PSO","9/26/19",1152.13538572371,517.89426752573,130.93448780897,2019-08-27,21,45,25,-0.652796155637015,30,5,45
"159","39-PSO-H","H","PSO","9/26/19",956.364092694642,492.092813486883,103.725187291836,2019-09-16,84,40,9,-1.05943544651308,10,2,40
"162","48-PSO-H","H","PSO","9/26/19",1398.6620134802,765.019181801503,112.773280033228,2019-07-11,1,NA,5,-0.285139142372817,77,11,42.728813559322
"163","54-PSO-L","L","PSO","9/26/19",2034.09891238847,1597.69006664711,229.326744852061,2019-08-19,41,35,9,2.13756293332189,38,6,35
"164","58-PSO-H-2ndBrood","H","PSO","9/26/19",832.518479891357,419.398791131962,117.111271404207,2019-08-03,40,39,26,-1.1506939079602,54,8,39
"1","02-BON-L","L","BON","6/24/19",374.822907618178,189.683839444984,4.41263684748093,2019-06-21,0,NA,12,-2.67570988669967,3,1,49.2105263157895
"3","09-BON-L","L","BON","6/24/19",1323.63851007478,762.375891266037,86.0852505227641,2019-06-21,0,NA,14,-0.556108592265461,3,1,49.2105263157895
"4","12-BON-H","H","BON","6/24/19",1408.70174601034,823.606050506098,81.5506430418758,2019-06-22,0,66,25,-0.44457511243373,2,1,66
"5","40-BON-L","L","BON","6/24/19",486.324952061709,235.016713662081,38.7117994504477,2019-06-24,0,37,3,-2.26471970360901,0,1,37
"6","01-BON-L","L","BON","7/11/19",830.856746741793,565.921392495074,64.5854121771407,2019-07-08,14,NA,22,-1.37806250789289,3,1,49.2105263157895
"7","02-BON-L","L","BON","7/11/19",1119.60484790262,563.751361267518,150.761757167572,2019-06-21,0,NA,12,-0.475647040820084,20,3,49.2105263157895
"8","09-BON-L","L","BON","7/11/19",1923.05492796126,1822.92157830878,93.403968666154,2019-06-21,0,NA,14,1.27452941424262,20,3,49.2105263157895
"10","12-BON-H","H","BON","7/11/19",1423.78822376726,830.735871870443,119.79804113252,2019-06-22,0,66,25,-0.132078389809038,19,3,66
"11","13-BON-H","H","BON","7/11/19",1135.3261784539,656.92765641693,106.021305847774,2019-07-02,8,46,6,-0.692021270675553,9,2,46
"13","18-BON-L","L","BON","7/11/19",1119.68094993529,800.251329935288,84.4168430153804,2019-07-08,14,45,7,-0.699979107848218,3,1,45
"14","21-BON-H","H","BON","7/11/19",1606.718035916,775.798644132013,104.990200343029,2019-06-26,2,NA,8,-0.151956642989335,15,3,49.2105263157895
"15","22-BON-H","H","BON","7/11/19",867.686527330787,401.56454099801,92.894370247736,2019-06-27,3,67,48,-1.32574022119732,14,2,67
"17","27-BON-L","L","BON","7/11/19",1105.39020293038,576.909176037755,85.763488266031,2019-06-27,3,45,5,-0.96687987485764,14,2,45
"18","29-BON-H","H","BON","7/11/19",1153.9317,384.1228903511,91.6331777595885,2019-07-02,8,46,7,-1.10889118948655,9,2,46
"20","35-BON-L","L","BON","7/11/19",2925.12288810178,2702.37140108276,219.649381050764,2019-06-30,6,65,33,4.14296538428887,11,2,65
"22","01-BON-L","L","BON","7/18/19",672.195040790699,383.968246342191,43.1629260510909,2019-07-08,14,NA,22,-1.89377681599558,10,2,49.2105263157895
"23","02-BON-L","L","BON","7/18/19",1906.11843558462,1114.09767470289,146.095482945772,2019-06-21,0,NA,12,0.820399705388194,27,4,49.2105263157895
"24","09-BON-L","L","BON","7/18/19",1165.64892190122,710.770023193234,116.833298699779,2019-06-21,0,NA,14,-0.519736717725298,27,4,49.2105263157895
"26","12-BON-H","H","BON","7/18/19",767.687747564489,363.133091899009,42.1822863159768,2019-06-22,0,66,25,-1.84349979329073,26,4,66
"27","13-BON-H","H","BON","7/18/19",1562.17831849191,1205.60170284293,100.883226548771,2019-07-02,8,46,6,0.287944810084686,16,3,46
"29","18-BON-L","L","BON","7/18/19",1231.07417243092,638.279421550159,130.344917531962,2019-07-08,14,45,7,-0.446394809607421,10,2,45
"30","21-BON-H","H","BON","7/18/19",848.881405780077,377.290085395804,148.779165423958,2019-06-26,2,NA,8,-0.94553811040022,22,4,49.2105263157895
"31","22-BON-H","H","BON","7/18/19",1329.20404789116,1059.79706780381,222.945687945835,2019-06-27,3,67,48,0.842688498531865,21,3,67
"33","27-BON-L","L","BON","7/18/19",816.968828170104,252.430779513242,83.1993628436802,2019-06-27,3,45,5,-1.62011736038735,21,3,45
"34","29-BON-H","H","BON","7/18/19",1199.34131028482,595.03996183512,123.243729183044,2019-07-02,8,46,7,-0.579090316435827,16,3,46
"36","35-BON-L","L","BON","7/18/19",1147.25786300348,441.830140494263,139.643621104647,2019-06-30,6,65,33,-0.680927406460124,18,3,65
"39","01-BON-L","L","BON","7/30/19",1645.90020017146,849.380466466277,157.95047781243,2019-07-08,14,NA,22,0.372080666313618,22,4,49.2105263157895
"40","07-BON-H","H","BON","7/30/19",929.467670700413,878.989353431537,57.4284258280622,2019-07-22,28,45,26,-0.976190268462477,8,2,45
"41","09-BON-L","L","BON","7/30/19",1220.57112716896,482.730577028407,124.614591208985,2019-06-21,0,NA,14,-0.683492780948953,39,6,49.2105263157895
"43","12-BON-H","H","BON","7/30/19",1604.06237954477,1366.47096998472,178.196726090138,2019-06-22,0,66,25,1.10310847646895,38,6,66
"44","13-BON-H","H","BON","7/30/19",1223.74723747906,839.865277046351,100.871999448535,2019-07-02,8,46,6,-0.43796145762189,28,4,46
"45","14-BON-H","H","BON","7/30/19",859.899002307598,457.206717505213,57.1524411374808,2019-07-24,30,35,11,-1.53844508243379,6,1,35
"47","18-BON-L","L","BON","7/30/19",1758.57651700457,741.956062832862,212.635981617847,2019-07-08,14,45,7,0.758081802807176,22,4,45
"49","21-BON-H","H","BON","7/30/19",1405.99329364242,897.572309401581,82.8515079174292,2019-06-26,2,NA,8,-0.349315960429819,34,5,49.2105263157895
"50","22-BON-H","H","BON","7/30/19",1207.18122457043,868.538904871302,77.1408007306517,2019-06-27,3,67,48,-0.598833049714602,33,5,67
"52","27-BON-L","L","BON","7/30/19",1331.18659814364,664.715414304891,120.36981403514,2019-06-27,3,45,5,-0.404519036402495,33,5,45
"53","29-BON-H","H","BON","7/30/19",1577.03085559378,653.284314894324,235.746010418804,2019-07-02,8,46,7,0.672052620556806,28,4,46
"56","35-BON-L","L","BON","7/30/19",2024.57406916169,1203.80544509371,272.605092218205,2019-06-30,6,65,33,1.99162185256434,30,5,65
"58","52-BON-H-2ndBrood","H","BON","7/30/19",683.160679628557,438.464224544018,86.9127090422612,2019-07-29,35,47,38,-1.48681046717077,1,1,47
